,Screen Name,Id,Age in Years,# of Followers,# of Followings,Follower/Following Ratio,URL,Verified,Number of Tweets,# of liked Tweets,# of lists,Botometer,Bot: 3.5 Threshold,Bot: 4.0 Threshold
581,nebraskangooner,3696215239,6,80807,131,616.85,1,0,47577,76180,1488,0.5,0,0
582,lizavolka,1172495443739230000,2,131,131,1.0,1,0,242,328,1,2.0,0,0
583,xsti7,1372449874881440000,0,84,60,1.4,1,0,158,226,0,2.2,0,0
584,dedesuh99004670,1366130073997210000,0,0,10,0.0,0,0,11,0,0,4.6,1,1
585,inginfgil,144460468,11,433,1081,0.4,0,0,37586,34397,7,1.3,0,0
586,felix_mines2,1352874088709050000,0,101,1938,0.05,1,0,8426,6695,1,2.3,0,0
587,yourbtcc,2338229497,7,82272,278,295.94,1,1,6225,2833,1103,1.6,0,0
588,fffbot1,1357417094304970000,0,93,0,0.0,0,0,37795,6934,2,4.0,1,1
589,meiklwagner,3000985198,6,518,4999,0.1,1,0,1121,37282,2,3.7,1,0
590,nomad_notes,1039451984779200000,3,166,1011,0.16,1,0,990,2400,5,0.1,0,0
591,cryptofinally,1042176455088720000,3,103492,1026,100.87,1,0,52722,88203,820,0.7,0,0
592,graphicsayo,1214697246954010000,1,160,663,0.24,0,0,731,3509,2,1.7,0,0
593,towertoken,1373840971507450000,0,996,31,32.13,1,0,22,64,0,2.9,0,0
594,corniepet,1361915880276300000,0,39,1136,0.03,0,0,1640,1701,0,3.6,1,0
595,newvfi,1289204968445020000,1,7949,55,144.53,1,0,55,10,10,2.0,0,0
596,ganeshgan2k,1311882759137180000,1,26,245,0.11,0,0,276,196,0,3.4,0,0
597,airdrop_father,1362709374645510000,0,6,4,1.5,0,0,36,29,0,3.4,0,0
598,corvette_79,1358699581647770000,0,186,1177,0.16,0,0,3322,3217,1,1.8,0,0
599,waboeldahab,249660458,10,13422,127,105.69,1,0,8108,1905,124,1.1,0,0
600,bitcoinislife,349152316,10,2833,4748,0.6,0,0,21937,21941,38,1.2,0,0
601,nutsfinance,1013622694628060000,3,3221,78,41.29,1,0,185,66,22,2.2,0,0
