,Screen Name,Id,Age in Years,# of Followers,# of Followings,Follower/Following Ratio,URL,Verified,Number of Tweets,# of liked Tweets,# of lists,Botometer,Bot: 3.5 Threshold,Bot: 4.0 Threshold
2247,z62sony,911275230085001000,4,10103,10439,0.97,0,0,18761,20031,9,2.0,0,0
2248,mcdav1s,88571790,12,107,181,0.59,0,0,1577,761,0,0.7,0,0
2249,gwaloloy,1274434765148450000,1,2,30,0.07,0,0,1598,2,0,3.9,1,0
2250,ozovetozo,1293496815539680000,1,13,57,0.23,0,0,753,881,0,3.3,0,0
2251,nftbridge,1364916869673710000,0,115,124,0.93,0,0,122,28,1,3.3,0,0
2252,bunniesrarebit,1345371659386160000,0,2081,450,4.62,1,0,1571,2594,14,2.2,0,0
2253,nomanjee425,618733705,9,96,713,0.13,1,0,1732,1181,1,1.9,0,0
2254,tombraider_kw,933346454554411000,4,578,649,0.89,1,0,35473,56415,20,1.4,0,0
2255,alistairmilne,20902138,12,84548,2252,37.54,1,1,14583,6939,2028,0.2,0,0
2256,humeyra4520,825053127338496000,4,1,3,0.33,0,0,96,149,0,2.9,0,0
2257,yedincimerlin,1082993121175230000,2,2336,136,17.18,0,0,145,526,4,1.6,0,0
2258,sabet,14196323,13,4398,1257,3.5,1,0,10195,4781,140,0.2,0,0
2259,cancerfzckinsux,1344740990469470000,1,2600,2660,0.98,1,0,2705,4271,8,2.2,0,0
2260,jonnyb_nft,717682843,9,3128,879,3.56,1,0,6677,11573,100,0.2,0,0
2261,whaleshark_pro,1175743683125100000,2,27135,232,116.96,1,0,7315,9147,538,0.4,0,0
2262,moussamiramouo1,1335513583870850000,1,0,75,0.0,0,0,83,53,0,3.2,0,0
2263,dgbarchie,853196780543950000,4,83,199,0.42,0,0,654,1797,1,0.6,0,0
2264,parkeralewis,1533911174,8,25932,156,166.23,0,0,2115,4406,614,0.1,0,0
2265,msscotscrypto77,1358545307383060000,0,1354,4234,0.32,0,0,7459,11201,2,2.0,0,0
2266,alabisimon12,813082539044769000,5,50,841,0.06,0,0,914,2382,0,1.6,0,0
2267,luminasapphire,1186929383203880000,2,113,519,0.22,0,0,1114,753,1,6.0,1,1
2268,pexryl01,912281045789282000,4,41,428,0.1,0,0,654,322,0,1.8,0,0
2269,ebunoluwa736,1122570237700900000,2,103,362,0.28,0,0,907,556,0,1.8,0,0
2270,sharpkeys2,1077207410908060000,3,90,507,0.18,0,0,944,400,1,2.1,0,0
2271,musti823227933,1310936770666790000,1,18,315,0.06,0,0,1502,4407,0,3.2,0,0
2272,charlot30360037,1355831579969510000,0,2,6,0.33,0,0,39,63,0,4.5,1,1
2273,faridahmed4321,1189937387805140000,2,64,326,0.2,0,0,154,149,1,2.0,0,0
2274,franckspicciani,1364263313685810000,0,13,71,0.18,0,0,46,219,0,2.2,0,0
2275,yx_soh,704392999,9,11,174,0.06,0,0,85,880,0,2.5,0,0
2276,me_dianti23,1345585043565990000,0,162,923,0.18,1,0,13552,3670,0,2.8,0,0
2277,iantheinvestor1,1206321556705550000,2,139,347,0.4,0,0,1602,4765,4,0.6,0,0
2278,aikendickson435,1287204963769180000,1,12,167,0.07,0,0,171,105,1,3.4,0,0
2279,41borsa41,571497281,9,117,369,0.32,0,0,7564,3111,1,0.8,0,0
2280,farazianaliz,1376205873010330000,0,5,4,1.25,0,0,6,0,0,4.4,1,1
2281,rudals5282,502327224,9,38,169,0.22,0,0,660,1963,0,1.7,0,0
2282,bluesnowboard,320829341,10,155,352,0.44,0,0,9375,9194,1,0.1,0,0
2283,rpoliveira,14166909,13,9860,6562,1.5,0,1,170463,6824,108,1.0,0,0
2284,mennopp,19290355,12,5136,4802,1.07,1,0,40475,43011,222,0.6,0,0
2285,carus,20332394,12,26,26,1.0,0,0,101,1,0,3.8,1,0
2286,takdelokejal,1241003281213610000,1,81,138,0.59,0,0,154,0,0,2.7,0,0
2287,maximusmoney1,1362791183722940000,0,41,105,0.39,0,0,155,33,1,1.8,0,0
2288,phanthanhvux,747603876602216000,5,1531,312,4.91,0,0,1446,255,18,1.0,0,0
2289,riyancmiiw,352126929,10,244,324,0.75,1,0,1274,1186,0,0.8,0,0
2290,0x_eth_,1104207802988410000,2,47,418,0.11,0,0,259,547,0,1.4,0,0
2291,terra_virtua,960068923759751000,3,40508,1765,22.95,1,0,3113,7890,248,0.2,0,0
2292,littlegranum,471288531,9,99,192,0.52,0,0,951,3105,0,0.3,0,0
2293,terravirtuahq,1328703486641500000,1,11536,795,14.51,1,0,302,882,33,2.2,0,0
2294,rosszzzz,811317841035227000,5,358,284,1.26,0,0,41016,30371,0,0.1,0,0
2295,holoholoholo13,1375363424989810000,0,13,3,4.33,0,0,53,33,1,2.7,0,0
2296,ptailse,897734719,9,11,60,0.18,0,0,68,1542,0,1.2,0,0
2297,alexjferraro,2385248127,7,21258,2814,7.55,1,0,41179,17086,167,0.6,0,0
2298,hopingh0bi,717309344937680000,5,295,4896,0.06,1,0,31913,10799,0,1.4,0,0
2299,schmiedvolk,1210582003097230000,2,1,18,0.06,0,0,1,1,0,4.8,1,1
2300,dailydigital,3405442043,6,13781,5512,2.5,1,0,133418,3828,1695,3.3,0,0
2301,planetfintech,3050783884,6,4785,2332,2.05,1,0,6871,533,366,2.2,0,0
2302,deecrypt1,1281302775335470000,1,5377,947,5.68,1,0,5223,15857,2,2.0,0,0
2303,martinezmikhail,898190047,9,281,391,0.72,0,0,1745,2586,1,1.1,0,0
2304,frobbo4421,1362637267076980000,0,12,61,0.2,0,0,36,86,0,1.8,0,0
2305,ilhamikcr,99372415,12,2135,2314,0.92,0,0,22669,170802,0,0.6,0,0
2306,olagokesikiru1,1345322853563050000,0,2,43,0.05,0,0,21,3,0,4.5,1,1
2307,successtodayfx,1024767978,9,2751,4931,0.56,1,0,475,2608,53,1.0,0,0
2308,kech4coin,1098289923394800000,2,196,205,0.96,1,0,2679,2594,3,0.5,0,0
2309,mmsasidharan,329029719,10,542,1454,0.37,1,0,7285,7084,3,0.6,0,0
2310,trustlessstate,981208355115974000,3,31761,607,52.32,1,0,24903,20502,719,0.2,0,0
2311,cryptodogmom1,1350141747909820000,0,5,87,0.06,0,0,71,25,0,3.1,0,0
2312,gezirganbasi,1282953496099250000,1,37,191,0.19,0,0,3170,8176,0,1.4,0,0
2313,cryptovoice85,1318517159392400000,1,10,66,0.15,0,0,75,19,0,3.2,0,0
2314,zima_alexander,1170699573314170000,2,17,12,1.42,1,0,120,217,0,1.6,0,0
2315,karalhoin,175960015,11,932,936,1.0,0,0,8478,2900,20,0.5,0,0
2316,tantonomini,313059177,10,903,1337,0.68,1,0,5121,2915,20,0.2,0,0
2317,villanovistpal,38737689,12,80,437,0.18,0,0,596,2405,0,0.6,0,0
2318,tjdigg,1266460739281120000,1,0,36,0.0,0,0,3,5,0,3.6,1,0
2319,valuable_0,1206294419680290000,2,57,671,0.08,0,0,1793,713,1,1.4,0,0
2320,racerx___,56813781,12,1709,2331,0.73,0,0,50576,7104,6,0.2,0,0
2321,king_remison,1003725288218470000,3,4311,3970,1.09,0,0,86684,23829,0,2.0,0,0
2322,benjaminxx,329511705,10,2818,5001,0.56,1,0,7136,11792,0,0.5,0,0
2323,jianslucky,1373280836007520000,0,47,708,0.07,0,0,1727,1556,0,3.2,0,0
2324,dundee18088883,1361329475879890000,0,21,11,1.91,0,0,167,738,0,2.2,0,0
2325,staky_icon,1123958095363940000,2,1289,247,5.22,1,0,995,2361,14,1.0,0,0
2326,1n4pfa8zv2fwwmb,1346843842369230000,0,18,44,0.41,0,0,29,5,0,3.2,0,0
2327,gabbanafoto,900112559667380000,4,23,86,0.27,0,0,34,80,0,3.4,0,0
2328,mclaughlingary,380014300,10,53,216,0.25,0,0,781,1513,0,0.7,0,0
2329,desperatesia,1258846227531210000,1,5425,601,9.03,0,0,2583,7008,60,1.8,0,0
2330,janc_vandenberg,795740385654034000,5,98,199,0.49,0,0,3127,8101,1,0.4,0,0
2331,mecheng87174703,1314177580724100000,1,4,111,0.04,0,0,124,47,0,3.2,0,0
2332,papayasugared,1375967491885770000,0,1,11,0.09,0,0,4,5,0,4.0,1,1
2333,exobotanicals,1230507561394320000,1,18,71,0.25,0,0,93,89,0,1.8,0,0
2334,femimatata,3806191,14,90,971,0.09,0,0,778,2531,1,1.4,0,0
2335,kylegold2020,1341585985751060000,1,317,361,0.88,1,0,1085,5015,7,2.6,0,0
2336,blackadonai,79959994,12,293,811,0.36,0,0,3590,244,4,1.2,0,0
2337,pmitch1978,302774125,10,34,21,1.62,0,0,464,113,0,1.4,0,0
2338,adambelle6,1277969395986200000,1,29,99,0.29,0,0,97,106,0,3.6,1,0
2339,kumakuma7,46391284,12,503,292,1.72,0,0,19187,17689,17,0.6,0,0
2340,cryptonationn,1368561997277650000,0,884,17,52.0,0,0,42,9,0,3.3,0,0
2341,shawarmafinance,1363361770484670000,0,230,5,46.0,1,0,16,1,1,3.4,0,0
2342,pettet50,3194071636,6,1882,2184,0.86,0,0,38639,38687,12,4.4,1,1
2343,drjdrooghaag,3429955204,6,31802,4690,6.78,1,0,126747,249901,356,4.4,1,1
2344,usmanperwaiiz,3250989072,6,83,319,0.26,0,0,622,1721,0,0.1,0,0
2345,shahidi24245265,1205006511526880000,2,345,1836,0.19,0,0,2856,2192,1,1.2,0,0
2346,_benkaufman,2779106119,7,15140,830,18.24,1,0,6909,85512,275,0.1,0,0
2347,asifshe88050255,1367907828447530000,0,1,72,0.01,0,0,158,100,0,3.2,0,0
2348,joinswanforce,912895825063399000,4,3852,698,5.52,1,0,1120,5599,63,1.2,0,0
2349,behodlerdex,1309057724320280000,1,996,10,99.6,1,0,760,610,9,3.2,0,0
2350,degen_vc,818538770601545000,4,5950,400,14.88,1,0,1382,1085,75,1.5,0,0
2351,fraserbrown_org,3043596858,6,316,880,0.36,1,0,1847,908,13,0.0,0,0
2352,wagnerrocha38,1277811606886520000,1,287,1641,0.17,1,0,4850,2989,0,1.7,0,0
2353,saflornet666,1353522466157580000,0,182,162,1.12,0,0,485,695,1,2.8,0,0
2354,luiz_s_moreira,1153735854105530000,2,97,346,0.28,1,0,1210,1258,2,1.2,0,0
2355,bidaochain,1155634825832920000,2,12791,17,752.41,1,0,89,1201,55,1.7,0,0
2356,spacex,34743251,12,15657807,100,156578.07,1,1,5204,221,30464,1.6,0,0
2357,moris,4919241,14,55,196,0.28,0,0,527,1001,4,3.4,0,0
2358,pia_purzella,380409617,10,490,367,1.34,0,0,162065,57330,142,1.7,0,0
2359,javier_garc_fdz,936947280,9,1849,204,9.06,1,0,5169,3679,58,1.5,0,0
2360,velariai,1343501873551170000,1,165,169,0.98,1,0,148,76,3,3.2,0,0
2361,robertofinol,144057840,11,49,142,0.35,0,0,3814,2509,0,0.8,0,0
2362,tradeqx,1299088399962270000,1,68,718,0.09,0,0,987,9201,1,1.2,0,0
2363,nickbtc_,613032401,9,1376,693,1.99,1,0,9096,16498,11,0.6,0,0
2364,markoni500,1311504802841420000,1,14,58,0.24,0,0,24,16,0,3.5,1,0
2365,thefk26,1171516281062730000,2,37,104,0.36,1,0,192,1536,0,0.6,0,0
2366,elifafrakilic,1344195165951540000,1,3614,164,22.04,0,0,93,641,22,2.0,0,0
2367,sportsbookbtc,1912522274,8,28189,23395,1.2,1,0,1913324,90,1775,3.3,0,0
2368,sk808123,1336078106977830000,1,65,326,0.2,0,0,452,1194,0,1.8,0,0
2369,nickdelon99,1364830951986100000,0,105,189,0.56,0,0,5,5,0,4.5,1,1
2370,patchlatics,23362876,12,275,639,0.43,0,0,9700,1559,6,0.2,0,0
2371,kong24544663,1361898885510090000,0,14,48,0.29,0,0,43,29,0,6.0,1,1
2372,kyepromote5,1251502591705390000,1,75,15,5.0,0,0,3642,22977,7,1.2,0,0
2373,zaradaniel9,1376299022290450000,0,0,3,0.0,0,0,5,5,0,4.0,1,1
2374,cryptotraderpro,15977038,13,23804,13426,1.77,1,0,2238818,3,1186,3.4,0,0
2375,dpy1ub3c1chmgjk,1376459765518270000,0,0,13,0.0,0,0,11,5,0,4.3,1,1
2376,jude30449142,1034787842939960000,3,168,574,0.29,0,0,16151,15628,3,2.1,0,0
2377,johnnymurphy83,906584641838215000,4,1842,294,6.27,1,0,3197,12432,1,1.1,0,0
2378,esfightclub,1273936050998720000,1,6214,91,68.29,1,0,281,221,2,2.0,0,0
2379,verasitytech,953284716945399000,3,59152,319,185.43,1,0,3249,1235,154,1.0,0,0
2380,unidexfinance,1321272092608860000,1,1720,40,43.0,1,0,149,48,11,1.7,0,0
2381,quintenfrancois,899748062507278000,4,37121,839,44.24,1,0,17175,30762,305,0.4,0,0
2382,degenlabs,1301230308914860000,1,34,11,3.09,1,0,515,590,1,4.6,1,1
2383,yuownkill,320101397,10,121,776,0.16,0,0,229,202,3,1.6,0,0
2384,katletaszs,1058624263714810000,3,2085,3295,0.63,0,0,93,43,0,3.6,1,0
2385,8278jogador8728,820670256830173000,4,912,4280,0.21,0,0,71256,7792,27,4.0,1,1
2386,tha_trader,953947929978392000,3,112,286,0.39,1,0,8026,407,1,4.3,1,1
2387,maciejtomczyk3,901335859412250000,4,2269,1507,1.51,1,0,2737,7979,14,1.0,0,0
2388,socios,1001022572186820000,3,139263,995,139.96,1,1,19477,34063,295,0.4,0,0
2389,chilizpoland,1266317237130000000,1,2149,17,126.41,0,0,664,1060,5,3.1,0,0
2390,zoltanreal,1256648508968480000,1,153,705,0.22,0,0,1541,6868,3,1.7,0,0
2391,wsbchairman,868578294916145000,4,919561,665,1382.8,1,0,5507,23950,2491,0.4,0,0
2392,algocentric,724097388059578000,5,4018,3727,1.08,1,0,57584,1929,91,3.7,1,0
2393,focaloidonline,728390250,9,2529,533,4.74,1,0,11521,92,104,3.0,0,0
2394,roichurrahman,1365575548957670000,0,1,17,0.06,0,0,9,24,0,4.0,1,1
2395,ftngen,1374361844559660000,0,2755,30,91.83,0,0,9,1,0,3.5,1,0
2396,binancechain,1052454006537310000,3,285017,71,4014.32,1,1,1860,602,1342,1.6,0,0
2397,hcorefinance,1314582353130510000,1,674,8,84.25,0,0,796,742,2,3.6,1,0
2398,quocvuong2019,1198448744825420000,2,175,955,0.18,0,0,862,631,0,1.8,0,0
2399,suhasbh49538170,1104918115299680000,2,11,109,0.1,0,0,215,45,0,2.9,0,0
2400,beardedksum,1356118051230500000,0,14,24,0.58,0,0,57,630,0,1.3,0,0
2401,farhanyousfxai,1190191637332410000,2,132,2495,0.05,0,0,65,64,0,4.0,1,1
2402,tenkcrypto,1118904578274050000,2,94,141,0.67,0,0,7109,505,1,3.4,0,0
2403,mastery_master,1310872284111010000,1,13262,37,358.43,1,0,407,822,13,2.4,0,0
2404,gdefifinance,1353976305029500000,0,54,5,10.8,1,0,17,5,0,4.1,1,1
2405,vergarampl,734701245311520000,5,163,1677,0.1,0,0,9251,4021,2,3.3,0,0
2406,jhanyne21_,1154670143143730000,2,253,2627,0.1,1,0,8746,6819,1,6.0,1,1
2407,miguelms69,2519138421,7,464,344,1.35,0,0,29551,24702,8,0.4,0,0
2408,coindesk,1333467482,8,1227317,1287,953.63,1,1,77184,4900,12714,1.9,0,0
2409,jar_eles,1357476553953860000,0,5,60,0.08,0,0,231,1056,0,3.6,1,0
2410,cndbetter,4911901970,5,9,25,0.36,0,0,1316,3,0,3.6,1,0
2411,xaviariassegui,632969165,9,183,1068,0.17,1,0,793,2924,6,1.1,0,0
2412,conors10,303961463,10,1095,1599,0.68,1,0,724,735,61,0.6,0,0
2413,xbox,24742040,12,15955279,16414,972.05,1,1,273378,3508,19121,1.0,0,0
2414,beeple,34097500,12,335447,570,588.5,1,1,8760,259,2223,0.6,0,0
2415,williamshatner,15227791,13,2530408,612,4134.65,1,1,104363,10751,24726,0.2,0,0
2416,fabioarico1805,1352514406358380000,0,12,118,0.1,0,0,133,221,0,1.0,0,0
2417,soalemambu,1240999574925260000,1,87,140,0.62,0,0,143,1,0,2.8,0,0
2418,coopdville2000,50635066,12,909,4927,0.18,1,0,5264,4026,9,1.7,0,0
2419,aytekin34488063,1009523457300880000,3,34,41,0.83,0,0,2113,26783,0,1.0,0,0
2420,simonyale3,1277975613312100000,1,21,115,0.18,0,0,102,115,0,3.6,1,0
2421,syarilsaid,74145555,12,279,441,0.63,1,0,17679,254,2,0.6,0,0
2422,au_baloch,2201035976,8,13,84,0.15,0,0,166,104,1,1.2,0,0
2423,akib112004,1374680337800780000,0,8,51,0.16,0,0,75,50,0,3.0,0,0
2424,adri98guerrero,551886956,9,674,833,0.81,0,0,13483,17670,2,0.4,0,0
2425,bamsk4,1004917385306860000,3,543,673,0.81,1,0,2784,2948,0,1.6,0,0
2426,osmtoken,1369594058222540000,0,209,9,23.22,0,0,134,121,1,2.9,0,0
2427,unlimitedboy12,1362321756317380000,0,0,18,0.0,0,0,5,35,0,4.6,1,1
2428,indgbwetrust,476003800,9,176,90,1.96,0,0,3131,4617,1,1.0,0,0
2429,dgbsocal,996256802957225000,3,2611,2246,1.16,1,0,3840,24090,13,0.3,0,0
2430,sanchopressure,356829501,10,10,173,0.06,0,0,62,1444,0,0.8,0,0
2431,hardeykwame,1366325640388090000,0,19,219,0.09,0,0,488,361,0,2.3,0,0
2432,luissantosoffic,755425849046929000,5,422,663,0.64,0,0,14611,14156,5,2.0,0,0
2433,stonksreddit,1354546688967450000,0,4854,98,49.53,0,0,2583,2905,41,2.3,0,0
2434,_v7gk,1293799394240730000,1,35,848,0.04,1,0,3792,552,1,2.7,0,0
2435,steve_s_bradley,1018938757414900000,3,466,952,0.49,1,0,675,1245,0,1.3,0,0
2436,paulscott005,267265992,10,395,68,5.81,1,0,3210,1777,8,1.6,0,0
2437,guydbennett,2266273256,8,4168,1990,2.09,1,0,17562,25373,55,0.4,0,0
2438,1982orkun,1395473875,8,12,16,0.75,0,0,17,80,0,2.8,0,0
2439,takamach_as,90141126,12,138,250,0.55,0,0,129484,98474,4,1.4,0,0
2440,giraffe61129491,1104781960235210000,2,11,17,0.65,0,0,9592,4968,0,6.0,1,1
2441,minorit89856440,1214459605398400000,1,20,69,0.29,0,0,324,747,0,1.7,0,0
2442,oladayo_419o,986475264397004000,3,1758,4969,0.35,0,0,7081,4230,1,3.2,0,0
2443,waco_token,1354010609403250000,0,683,94,7.27,1,0,72,261,4,3.2,0,0
2444,ikhwanulaf,1559608686,8,223,106,2.1,1,0,2220,31,0,0.8,0,0
2445,mhercie10,1376458918570940000,0,0,2,0.0,0,0,2,2,0,4.4,1,1
2446,habesha_tweets,703007692873400000,5,4819,4484,1.07,0,0,17042,548,9,1.2,0,0
2447,pisseskev,1363404068371250000,0,4,39,0.1,0,0,111,112,0,1.6,0,0
2448,themooncarl,978732571738755000,3,216503,455,475.83,1,0,4936,4480,1235,0.9,0,0
2449,tonevays,2577886615,7,226796,990,229.09,1,0,20977,30237,4241,0.5,0,0
2450,rock3tfinance,1302039271654780000,1,145,8,18.13,0,0,529,562,3,4.1,1,1
2451,parwej786000,1282265811726430000,1,67,3127,0.02,0,0,730,700,0,3.4,0,0
2452,yankeehistory,431457235,10,636,1064,0.6,1,0,791,0,13,4.0,1,1
2453,tigers,30008146,12,1427187,899,1587.53,1,1,68091,37924,6074,0.4,0,0
2454,yankees,40927173,12,3470817,399,8698.79,1,1,42510,5673,12707,0.6,0,0
2455,gateairdrop,1372872941386430000,0,19,176,0.11,0,0,198,128,0,2.2,0,0
2456,api_1000,437470731,10,66,79,0.84,0,0,835,639,0,1.0,0,0
2457,masseis3,1218176741988090000,1,18,277,0.06,0,0,124,309,0,1.2,0,0
2458,chainlink_alert,1173703061035980000,2,7981,12,665.08,0,0,13190,6094,66,0.5,0,0
2459,shubham97212324,1184137625419960000,2,0,15,0.0,0,0,41,32,0,4.0,1,1
2460,cryptooindia,939169550674796000,4,25412,592,42.93,1,0,4565,9321,66,0.5,0,0
2461,cryptonfty,1373770793658630000,0,0,2,0.0,0,0,10,0,0,3.7,1,0
2462,keeper_cane,972579650479177000,3,267,1389,0.19,0,0,6622,10819,4,0.2,0,0
2463,gou67027372,1291421395197530000,1,7,57,0.12,0,0,246,215,1,1.4,0,0
2464,tri03513651,1363503027567480000,0,34,343,0.1,0,0,703,274,0,2.6,0,0
2465,elmernofudxrp,978717966563987000,3,60,54,1.11,0,0,1620,2748,0,0.8,0,0
2466,helyzakande,1205381073653390000,2,20,54,0.37,1,0,75,109,0,1.8,0,0
2467,rairdropo,1374706846448050000,0,5,15,0.33,0,0,10,7,0,3.6,1,0
2468,fatchurputra,1213294840479240000,1,73,236,0.31,0,0,180,274,0,1.9,0,0
2469,btc_proponent,1135656664961620000,2,604,1643,0.37,0,0,12902,17975,13,1.5,0,0
2470,kamad09,1340549679910580000,1,65,145,0.45,0,0,124,97,0,2.7,0,0
2471,justcrypto7,945756499330195000,4,165,71,2.32,0,0,2888,6163,1,0.2,0,0
2472,hotabak,740752333,9,1223,2929,0.42,1,0,2474,1839,24,1.0,0,0
2473,mardukprophecy,1372117051830100000,0,17,78,0.22,0,0,27,11,0,3.2,0,0
2474,masteringms,730163754499969000,5,9,197,0.05,0,0,35,106,0,1.9,0,0
2475,laljidodiya6,1372793786359640000,0,6,55,0.11,0,0,17,2,0,4.1,1,1
2476,kamran553,388093517,10,92,423,0.22,0,0,2743,1785,5,1.8,0,0
2477,madanch19442410,1069958225636740000,3,67,43,1.56,0,0,119,55,0,3.4,0,0
2478,janice48y,2842004001,7,375,407,0.92,0,0,8935,14271,4,0.3,0,0
2479,crypto_potato,2367079278,7,17786,5805,3.06,1,0,4371,664,238,4.3,1,1
2480,zafrin98945358,1353577718114220000,0,70,141,0.5,0,0,241,191,0,6.0,1,1
2481,hope_galleries,1364503194307610000,0,407,360,1.13,0,0,80785,18523,6,3.4,0,0
2482,raenaxdifangan,1240996754700430000,1,65,120,0.54,0,0,130,0,0,2.8,0,0
2483,nsabari4,193199453,11,578,2755,0.21,0,0,7889,34014,7,0.9,0,0
2484,te_food,908638104545873000,4,12430,206,60.34,1,0,1062,1076,141,1.0,0,0
2485,eurofinsuk,3247516251,6,601,267,2.25,1,0,436,46,5,3.4,0,0
2486,ebargainstoday,3875594838,6,6949,16059,0.43,1,0,172843,15074,307,3.8,1,0
2487,mysecre11152388,1335945641676170000,1,69,94,0.73,0,0,612,937,0,1.5,0,0
2488,bscstarter,1363645063054710000,0,7604,35,217.26,1,0,135,136,35,2.2,0,0
2489,anurag7689,1345676867840450000,0,40,94,0.43,0,0,54,33,0,3.4,0,0
2490,martybent,375707743,10,55197,2895,19.07,1,0,46702,110325,1407,0.6,0,0
2491,mrtakgl01903,1311033367249510000,1,8,57,0.14,0,0,572,4566,0,1.9,0,0
2492,xthze,1279440168424880000,1,20,243,0.08,0,0,164,77,0,2.4,0,0
2493,eims1fm7cwixpb2,1326795557030020000,1,2,243,0.01,0,0,96,335,0,4.4,1,1
2494,micpopcornmic,1133012478625920000,2,818,1801,0.45,0,0,620,1233,0,4.3,1,1
2495,kiltjapan,1369757981957490000,0,41,5,8.2,1,0,35,169,1,3.8,1,0
2496,polkadex,1328946367742530000,1,8767,36,243.53,1,0,130,132,67,1.8,0,0
2497,fokan11772602,1376425524076010000,0,1,0,0.0,1,0,24,0,0,3.7,1,0
2498,iambassics,462093602,9,209,474,0.44,0,0,785,87,3,1.0,0,0
2499,posunleke,1336361151215650000,1,11,263,0.04,0,0,470,239,2,6.0,1,1
2500,ladydatahande,174583792,11,534,427,1.25,1,0,5975,1686,10,0.0,0,0
2501,hakanetwork,69074156,12,2936,542,5.42,1,0,7854,4423,57,0.2,0,0
2502,bedava_fikir,1231646788966330000,1,49,38,1.29,1,0,165,35,1,1.1,0,0
2503,foyezripon,1303893464619200000,1,17,263,0.06,0,0,503,80,0,3.3,0,0
2504,bluebir26571341,1361529713802550000,0,6,58,0.1,0,0,3,0,0,4.7,1,1
2505,cryptofuture007,1370135574892440000,0,859,6,143.17,0,0,21,0,0,3.0,0,0
2506,mubarik25692621,1075965033312440000,3,28,115,0.24,0,0,246,187,0,3.3,0,0
2507,nita22009016,1274776806826970000,1,191,547,0.35,0,0,1163,1634,1,6.0,1,1
2508,ravencoinradio,1373306692407070000,0,39,43,0.91,1,0,159,220,1,2.4,0,0
2509,spkreal,1323536577935640000,1,65,656,0.1,0,0,863,338,1,2.3,0,0
2510,yi96315139,1211471008948890000,2,6,72,0.08,0,0,1139,1972,0,3.2,0,0
2511,xsum_series,742932186052038000,5,629,62,10.15,1,0,332,27,36,2.0,0,0
2512,nem_hub,1200053049605130000,2,2503,111,22.55,1,0,803,2660,21,1.9,0,0
2513,deminhlinh8,1245992053059630000,1,14,174,0.08,0,0,194,118,1,3.4,0,0
2514,jalenrabinson,1364904203957640000,0,107,192,0.56,0,0,5,5,0,4.2,1,1
2515,devesh73168946,1367910256513150000,0,2,50,0.04,0,0,10,2,0,4.9,1,1
2516,lorseriego,1303891031381870000,1,574,910,0.63,1,0,3192,4162,1,1.6,0,0
2517,therealsaso,324263202,10,31,467,0.07,0,0,614,46,0,0.6,0,0
2518,tampan10241032,1376463116662280000,0,0,0,0.0,0,0,1,0,0,4.6,1,1
2519,botchok35533405,1361217435546770000,0,2,8,0.25,0,0,18,1,0,3.4,0,0
2520,0xsishi,1371681610228060000,0,3438,49,70.16,1,0,227,24,0,3.0,0,0
2521,highqualityxyz,1158293563383270000,2,1113,310,3.59,1,0,13646,99989,11,2.8,0,0
2522,imagepunks,59716459,12,15859,3712,4.27,1,0,29118,118,3335,3.8,1,0
2523,hsnmmtz16,873998752582836000,4,2,111,0.02,0,0,13,2,0,4.3,1,1
2524,roshankumarmoh4,1359071815453180000,0,77,245,0.31,0,0,307,175,0,2.3,0,0
2525,victorfota,906611186531172000,4,187,105,1.78,1,0,283,760,2,1.2,0,0
2526,nikhilc49482691,1356644660421160000,0,0,3,0.0,0,0,7,12,0,3.2,0,0
2527,chaoticspiro323,1174302691238930000,2,109,552,0.2,0,0,533,3793,1,0.5,0,0
2528,gravel_tron,1195153733400870000,2,1633,4483,0.36,0,0,18175,712,3,4.2,1,1
2529,kripto_cem,1372994944709880000,0,403,49,8.22,0,0,267,480,1,3.4,0,0
2530,30minutetrading,1520399221,8,171,196,0.87,1,0,5031,10,48,4.1,1,1
2531,corymitc,434574997,10,2572,169,15.22,1,0,4850,104,85,1.2,0,0
2532,as_asmgl,1179009423584490000,2,14,33,0.42,0,0,335,221,0,4.2,1,1
2533,nzioka_justin,1162974175566470000,2,67,421,0.16,0,0,349,6,0,4.8,1,1
2534,ugmanofficial,1192045678773620000,2,160211,3165,50.62,0,0,27101,20920,378,1.6,0,0
2535,fires772,1355086330586390000,0,13,16,0.81,0,0,231,277,1,1.4,0,0
2536,stuarttodd28,1107377036480380000,2,224,144,1.56,0,0,5203,9952,1,0.8,0,0
2537,themoneysponge,3662184855,6,6461,300,21.54,1,0,23066,28513,59,0.4,0,0
2538,ktssrinivasarao,901085467,9,66,144,0.46,0,0,428,361,0,1.6,0,0
2539,oofersmr,1072458013334750000,3,138,1740,0.08,0,0,10256,11226,2,1.2,0,0
2540,dogecoinrise,1345576584204350000,0,245177,24,10215.71,1,0,3246,1116,226,1.9,0,0
2541,verified,63796828,12,3170934,358140,8.85,0,1,6,4,8235,3.2,0,0
2542,billym2k,30699048,12,35751,117,305.56,0,0,1961,1716,160,1.0,0,0
2543,u8dengineer,1344286804900500000,1,132,1847,0.07,1,0,92,572,0,1.7,0,0
2544,glassnodealerts,1070351212044780000,3,39807,1,39807.0,1,0,42204,72,579,4.6,1,1
2545,ijagbirsingh,929303494464479000,4,89,291,0.31,0,0,114,779,0,4.1,1,1
2546,nees_chan,1260077742562740000,1,43,1107,0.04,0,0,10201,3651,0,2.2,0,0
