Screen Name,Age in Years,# of Followers,# of Followings,Follower/Following Ratio,URL,Verified,Number of Tweets,# of liked Tweets,# of lists,Bot: 4.0 Threshold
twentytenmedia,11,2786,1158,2.41,0,0,137214,59,53,1
trevinster,3,86,843,0.1,0,0,1836,4525,4,0
sjcrypto,4,613,146,4.2,0,0,19227,17648,16,0
annaleevrx,5,12953,1139,11.37,1,0,7532,17626,43,0
s1lverarrow,5,1123,990,1.13,1,0,80749,6772,56,0
klever_io,3,160759,4504,35.69,1,0,7493,22829,179,0
onjolonjologiz,1,61,117,0.52,0,0,129,0,0,0
zkmingz86,6,52,342,0.15,0,0,264,226,0,0
ghanshy34077813,0,0,17,0.0,0,0,10,3,0,1
donnierolex,5,979,4995,0.2,0,0,29391,51270,8,0
fireinsidemusi1,4,192,434,0.44,1,0,1219,186,2,1
alejand72481963,0,0,17,0.0,0,0,12,3,0,1
cryptorommel,2,964,3124,0.31,0,0,10464,7687,2,0
claudiagarlan12,0,1,52,0.02,0,0,29,19,1,1
gauraaaw,1,69,208,0.33,0,0,308,171,0,0
david21552418,1,9,143,0.06,0,0,68,276,0,0
fandew3,2,57,247,0.23,0,0,967,863,0,0
tangocto,5,1454,5002,0.29,0,0,193125,2245,193,0
cryptosolomon_,2,89,503,0.18,0,0,2000,8480,1,0
financemagnates,12,33265,479,69.45,1,0,27876,563,1043,1
bape_corn,0,29,1,29.0,0,0,6,10,0,1
deanvandammexxx,11,31153,94,331.41,1,0,13509,113,152,0
bitplates,2,61,306,0.2,1,0,45,115,4,0
elbbard,1,0,21,0.0,0,0,11,2,0,1
meister_crypto,0,2,125,0.02,0,0,65,811,0,1
vivalacoinbtc,0,53,251,0.21,1,0,459,229,2,0
